title,url,author,documentType,sourceName,visualizationType,technology,thumbnail,date
 DViz: a declarative data visualization library,http://akngs.tumblr.com/post/30393301015/declarative-data-visualization,Alan Kang,code library,github,bar chart; line chart; sparkline; scatterplot; splom; force,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-18-13%2012.37.58%20PM.png,
 The Quest for the Graphical Web,https://www.adobe.com/inspire/2013/02/graphical-web-experiment.html,Adobe Web Platform,blog post,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-10-13%2011.51.41%20AM.png,
.enter( ) stage left,http://www.rvl.io/annaps/d3-journey-to-the-source/,Anna Powell-Smith,slides,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-7-13%2010.59.47%20AM.png,
"""Elbow"" Dendrogram",http://bl.ocks.org/d/2429963,Mike Bostock,code viewer,bl.ocks,dendrogram,,https://gist.github.com/mbostock/2429963/raw/thumbnail.png,10/11/2012
[prototype] d3.geo,https://vimeo.com/58834984,Ian Johnson,video tutorial,vimeo,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-27-13%2010.03.34%20AM.png,
113th U.S. Congressional Districts,http://bl.ocks.org/4657115,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4657115/raw/thumbnail.png,1/28/2013
20 years of the english premier football league,http://thestoryoftheseason.com/, Anna Powell-Smith,standalone visualization,,line chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-10-13%2010.14.10%20AM.png,
20000 points in random motion,http://bl.ocks.org/syntagmatic/5107530,Kai Chang,code viewer,bl.ocks,,canvas,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-7-13%2010.48.33%20AM.png,
2012 NFL Conference Champs,http://thedylanharper.wordpress.com/2013/02/04/2012-nfl-conference-champs/,Dylan Harper,blog post,,line chart; area chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-13-13%2012.25.23%20AM.png,
25 great circles,http://tributary.io/inlet/5262684,Dealga McArdle,code viewer,tributary,math,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-28-13%201.23.46%20PM.png,
2D Matrix Decomposition,http://bl.ocks.org/1340727,Mike Bostock,code viewer,bl.ocks,,,,11/4/2011
3D bar chart with D3.js and x3dom,http://bl.ocks.org/camio/5087116,Harry Voorhees,code viewer,bl.ocks,bar chart,x3dom,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-4-13%207.40.52%20PM.png,
401k Fees Vary Widely for Similar Companies (Scatter) ,http://blog.futureadvisor.com/401k-fees-are-determined-by-hr-negotiation-skills/,Amelia Greenhall,blog post ,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-22-13%201.09.12%20PM.png,
512 Paths to the White House,http://www.nytimes.com/interactive/2012/11/02/us/politics/paths-to-the-white-house.html,,news,nytimes,tree,,https://lh5.googleusercontent.com/-KhI8U9vJ4i0/UPO5vUHI9BI/AAAAAAAABS4/EI6N-YANKaM/s800/white_house.png,
9-Patch Quilt Generator,http://www.jasondavies.com/9patch/,Jason Davies,,,math,,,
A Bar Chart,http://bl.ocks.org/1389927,Mike Bostock,code viewer,bl.ocks,bar chart,,https://gist.github.com/mbostock/1389927/raw/thumbnail.png,10/11/2012
"A Bar Chart, Part 1",http://mbostock.github.com/d3/tutorial/bar-1.html,Mike Bostock,Introductory tutorials,,bar chart,,,
"A Bar Chart, Part 2",http://mbostock.github.com/d3/tutorial/bar-2.html,Mike Bostock,Introductory tutorials,,bar chart,,,
A Chicago Divided by Killings,http://www.nytimes.com/interactive/2013/01/02/us/chicago-killings.html,Mike Bostock; Shan Carter; Kevin Quealy,news,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2010.59.18%20AM.png,2/1/2013
A Christmas Carol,http://tulpinteractive.com/achristmascarol/,Jan Willem Tulp,standalone visualization,,,,,
A CoffeeScript console for d3.js visualization,http://fleetinbeing.net/beans/d3,,,,,coffeescript,,
A JSNetworkX example,http://jsfiddle.net/mrcactu5/LMCxT/1/,MrCactu5,code viewer,jsfiddle,network,jsnetworkx,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-14-13%209.20.25%20AM.png,
"A KoExtensions example: #d3js KnockoutJS, RavenDB, WebAPI, Bootstrap",http://hoonzis.blogspot.fr/2013/03/sample-application-ravendb-knockoutjs.html,Jan Fajfr ,blog post; code library,,pie chart,knockoutjs,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-27-13%209.38.31%20AM.png,
A map of translations of Othello into German,http://othellomap.nand.io/,Stephan Thiel,standalone visualization,,map; network,,,
A Matplotlib/Matlab inspired lib for interactive plots with D3.js,https://github.com/rameshvs/jsplotlib,Ramesh Sridharan,,,,,,
A Migration of Unmarried Men,http://www.nytimes.com/interactive/2013/01/15/us/a-migration-of-unmarried-men.html?ref=us,Kevin Quealy,,,slopegraph; map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-27-13%2010.08.27%20AM.png,
A physics model of a physics model,http://michiel.wordpress.com/2012/07/13/a-physics-model-of-a-physics-model/,Michiel van der Blonk,,,,,,
A Race to Entitlement,http://3angular.roberryarts.com/,,,,,,,
A Radius Follows the Mouse,http://bl.ocks.org/JohnDelacour/5673836,John Delacour,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-29-13%203.41.06%20PM.png,
A sea of tweets: what are italians saying about the election,http://www.seaoftweets.com/,Carlo Zapponi,standalone visualization,,time series,twitter,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-22-13%209.54.01%20AM.png,
A simpler variation of Kepler’s Tally,http://bl.ocks.org/mbostock/5415941,Mike Bostock,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-18-13%201.44.31%20PM.png,
